Name,Text,Type
1146.Snapshot-Array,NOLEETCODE LINK,Design
1172.Dinner-Plate-Stacks,"You have an infinite number of stacks arranged in a row and numbered (left to right) from 0, each of the stacks has the same maximum capacity.Implement the DinnerPlates class: Example 1: Constraints:",Design
1381.Design-a-Stack-With-Increment-Operation,NOLEETCODE LINK,Design
1352.Product-of-the-Last-K-Numbers,NOLEETCODE LINK,Design
1418.Display-Table-of-Food-Orders-in-a-Restaurant,NOLEETCODE LINK,Design
1622.Fancy-Sequence,NOLEETCODE LINK,Design
1801.Number-of-Orders-in-the-Backlog,NOLEETCODE LINK,Design
032.Longest-Valid-Parentheses,"Given a string containing just the characters '(' and ')', find the length of the longest valid (well-formed) parentheses substring. Example 1:Example 2:Example 3: Constraints:",Stack
155.Min-Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.Implement the MinStack class: Example 1: Constraints:",Stack
225.Implement-Stack-using-Queues,"Implement a last-in-first-out (LIFO) stack using only two queues. The implemented stack should support all the functions of a normal stack (push, top, pop, and empty).Implement the MyStack class:Notes: Example 1: Constraints: Follow-up: Can you implement the stack using only one queue?",Stack
232.Implement-Queue-using-Stacks,"Implement a first in first out (FIFO) queue using only two stacks. The implemented queue should support all the functions of a normal queue (push, peek, pop, and empty).Implement the MyQueue class:Notes: Example 1: Constraints: Follow-up: Can you implement the queue such that each operation is amortized O(1) time complexity? In other words, performing n operations will take overall O(n) time even if one of those operations may take longer.",Stack
173.Binary-Search-Tree-Iterator,"Implement the BSTIterator class that represents an iterator over the in-order traversal of a binary search tree (BST):Notice that by initializing the pointer to a non-existent smallest number, the first call to next() will return the smallest element in the BST.You may assume that next() calls will always be valid. That is, there will be at least a next number in the in-order traversal when next() is called. Example 1: Constraints: Follow up:",Stack
536.Construct-Binary-Tree-from-String,PREMIUMLOCKED,Stack
456.132-Pattern,"Given an array of n integers nums, a 132 pattern is a subsequence of three integers nums[i], nums[j] and nums[k] such that i < j < k and nums[i] < nums[k] < nums[j].Return true if there is a 132 pattern in nums, otherwise, return false. Example 1:Example 2:Example 3: Constraints:",Stack
636.Exclusive-Time-of-Functions,"On a single-threaded CPU, we execute a program containing n functions. Each function has a unique ID between 0 and n-1.Function calls are stored in a call stack: when a function call starts, its ID is pushed onto the stack, and when a function call ends, its ID is popped off the stack. The function whose ID is at the top of the stack is the current function being executed. Each time a function starts or ends, we write a log with the ID, whether it started or ended, and the timestamp.You are given a list logs, where logs[i] represents the ith log message formatted as a string ""{function_id}:{""start"" | ""end""}:{timestamp}"". For example, ""0:start:3"" means a function call with function ID 0 started at the beginning of timestamp 3, and ""1:end:2"" means a function call with function ID 1 ended at the end of timestamp 2. Note that a function can be called multiple times, possibly recursively.A function's exclusive time is the sum of execution times for all function calls in the program. For example, if a function is called twice, one call executing for 2 time units and another call executing for 1 time unit, the exclusive time is 2 + 1 = 3.Return the exclusive time of each function in an array, where the value at the ith index represents the exclusive time for the function with ID i. Example 1:Example 2:Example 3: Constraints:",Stack
856.Score-of-Parentheses,NOLEETCODE LINK,Stack
946.Validate-Stack-Sequences,"Given two integer arrays pushed and popped each with distinct values, return true if this could have been the result of a sequence of push and pop operations on an initially empty stack, or false otherwise. Example 1:Example 2: Constraints:",Stack
1190.Reverse-Substrings-Between-Each-Pair-of-Parentheses,NOLEETCODE LINK,Stack
1209.Remove-All-Adjacent-Duplicates-in-String-II,NOLEETCODE LINK,Stack
1586.Binary-Search-Tree-Iterator-II,NOLEETCODE LINK,Stack
042.Trapping-Rain-Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. Example 1:Example 2: Constraints:",Others
084.Largest-Rectangle-in-Histogram,"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram. Example 1:Example 2: Constraints:",Stack
085.Maximal-Rectangle,"Given a rows x cols binary matrix filled with 0's and 1's, find the largest rectangle containing only 1's and return its area. Example 1:Example 2:Example 3: Constraints:",Stack
255.Verify-Preorder-Sequence-in-Binary-Search-Tree,PREMIUMLOCKED,Tree
496.Next-Greater-Element-I,"The next greater element of some element x in an array is the first greater element that is to the right of x in the same array.You are given two distinct 0-indexed integer arrays nums1 and nums2, where nums1 is a subset of nums2.For each 0 <= i < nums1.length, find the index j such that nums1[i] == nums2[j] and determine the next greater element of nums2[j] in nums2. If there is no next greater element, then the answer for this query is -1.Return an array ans of length nums1.length such that ans[i] is the next greater element as described above. Example 1:Example 2: Constraints: ",Stack
221.Maximal-Square,"Given an m x n binary matrix filled with 0's and 1's, find the largest square containing only 1's and return its area. Example 1:Example 2:Example 3: Constraints:",Dynamic_Programming
739.Daily-Temperatures,"Given an array of integers temperatures represents the daily temperatures, return an array answer such that answer[i] is the number of days you have to wait after the ith day to get a warmer temperature. If there is no future day for which this is possible, keep answer[i] == 0 instead. Example 1:Example 2:Example 3: Constraints:",Stack
768.Max-Chunks-To-Make-Sorted-II,NOLEETCODE LINK,Stack
901.Online-Stock-Span,Design an algorithm that collects daily price quotes for some stock and returns the span of that stock's price for the current day.The span of the stock's price today is defined as the maximum number of consecutive days (starting from today and going backward) for which the stock price was less than or equal to today's price.Implement the StockSpanner class: Example 1: Constraints:,Stack
907.Sum-of-Subarray-Minimums,"Given an array of integers arr, find the sum of min(b), where b ranges over every (contiguous) subarray of arr. Since the answer may be large, return the answer modulo 109 + 7. Example 1:Example 2: Constraints:",Stack
1856.Maximum-Subarray-Min-Product,NOLEETCODE LINK,Stack
2104.Sum-of-Subarray-Ranges,NOLEETCODE LINK,Stack
962.Maximum-Width-Ramp,"A ramp in an integer array nums is a pair (i, j) for which i < j and nums[i] <= nums[j]. The width of such a ramp is j - i.Given an integer array nums, return the maximum width of a ramp in nums. If there is no ramp in nums, return 0. Example 1:Example 2: Constraints:",Stack
1019.Next-Greater-Node-In-Linked-List,NOLEETCODE LINK,Stack
1063.Number-of-Valid-Subarrays,NOLEETCODE LINK,Stack
1124.Longest-Well-Performing-Interval,"We are given hours, a list of the number of hours worked per day for a given employee.A day is considered to be a tiring day if and only if the number of hours worked is (strictly) greater than 8.A well-performing interval is an interval of days for which the number of tiring days is strictly larger than the number of non-tiring days.Return the length of the longest well-performing interval. Example 1:Example 2: Constraints:",Stack
1130.Minimum-Cost-Tree-From-Leaf-Values,"Given an array arr of positive integers, consider all binary trees such that:Among all possible binary trees considered, return the smallest possible sum of the values of each non-leaf node. It is guaranteed this sum fits into a 32-bit integer.A node is a leaf if and only if it has zero children. Example 1:Example 2: Constraints:",Dynamic_Programming
1944.Number-of-Visible-People-in-a-Queue,NOLEETCODE LINK,Stack
1950.Maximum-of-Minimum-Values-in-All-Subarrays,NOLEETCODE LINK,Stack
1966.Binary-Searchable-Numbers-in-an-Unsorted-Array,NOLEETCODE LINK,Stack
402.Remove-K-Digits,"Given string num representing a non-negative integer num, and an integer k, return the smallest possible integer after removing k digits from num. Example 1:Example 2:Example 3: Constraints:",Stack
1673.Find-the-Most-Competitive-Subsequence,NOLEETCODE LINK,Stack
2030.Smallest-K-Length-Subsequence-With-Occurrences-of-a-Letter,NOLEETCODE LINK,Stack
316.Remove-Duplicate-Letters,"Given a string s, remove duplicate letters so that every letter appears once and only once. You must make sure your result is the smallest in lexicographical order among all possible results. Example 1:Example 2: Constraints: Note: This question is the same as 1081: https://leetcode.com/problems/smallest-subsequence-of-distinct-characters/",Stack
1081.Smallest-Subsequence-of-Distinct-Characters,NOLEETCODE LINK,Stack
321.Create-Maximum-Number,You are given two integer arrays nums1 and nums2 of lengths m and n respectively. nums1 and nums2 represent the digits of two numbers. You are also given an integer k.Create the maximum number of length k <= m + n from digits of the two numbers. The relative order of the digits from the same array must be preserved.Return an array of the k digits representing the answer. Example 1:Example 2:Example 3: Constraints:,Stack
071.Simplify-Path,NOLEETCODE LINK,Stack
224.Basic-Calculator,"Given a string s representing a valid expression, implement a basic calculator to evaluate it, and return the result of the evaluation.Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval(). Example 1:Example 2:Example 3: Constraints:",Stack
227.Basic-Calculator-II,NOLEETCODE LINK,Stack
772.Basic-Calculator-III,PREMIUMLOCKED,Stack
385.Mini-Parser,"Given a string s represents the serialization of a nested list, implement a parser to deserialize it and return the deserialized NestedInteger.Each element is either an integer or a list whose elements may also be integers or other lists. Example 1:Example 2: Constraints:",Stack
439.Ternary-Expression-Parser,PREMIUMLOCKED,Stack
726.Number-of-Atoms,"Given a string formula representing a chemical formula, return the count of each atom.The atomic element always starts with an uppercase character, then zero or more lowercase letters, representing the name.One or more digits representing that element's count may follow if the count is greater than 1. If the count is 1, no digits will follow.Two formulas are concatenated together to produce another formula.A formula placed in parentheses, and a count (optionally added) is also a formula.Return the count of all elements as a string in the following form: the first name (in sorted order), followed by its count (if that count is more than 1), followed by the second name (in sorted order), followed by its count (if that count is more than 1), and so on.The test cases are generated so that all the values in the output fit in a 32-bit integer. Example 1:Example 2:Example 3: Constraints:",Stack
1087.Brace-Expansion,NOLEETCODE LINK,Stack
1096.Brace-Expansion-II,"Under the grammar given below, strings can represent a set of lowercase words. Let R(expr) denote the set of words the expression represents.The grammar can best be understood through simple examples:Formally, the three rules for our grammar:Given an expression representing a set of words under the given grammar, return the sorted list of words that the expression represents. Example 1:Example 2: Constraints:",Stack
1106.Parsing-A-Boolean-Expression,"Return the result of evaluating a given boolean expression, represented as a string.An expression can either be: Example 1:Example 2:Example 3: Constraints:",Stack
1896.Minimum-Cost-to-Change-the-Final-Value-of-Expression,NOLEETCODE LINK,Stack
239.Sliding-Window-Maximum,"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position.Return the max sliding window. Example 1:Example 2: Constraints:",Deque
862.Shortest-Subarray-with-Sum-at-Least-K,"Given an integer array nums and an integer k, return the length of the shortest non-empty subarray of nums with a sum of at least k. If there is no such subarray, return -1.A subarray is a contiguous part of an array. Example 1:Example 2:Example 3: Constraints:",Deque
1425.Constrained-Subsequence-Sum,NOLEETCODE LINK,Deque
1438.Longest-Continuous-Subarray-With-Absolute-Diff-Less-Than-or-Equal-to-Limit,NOLEETCODE LINK,Deque
1499.Max-Value-of-Equation,NOLEETCODE LINK,Deque
1562.Find-Latest-Group-of-Size-M,NOLEETCODE LINK,Deque
1696.Jump-Game-VI,NOLEETCODE LINK,Deque
1776.Car-Fleet-II,NOLEETCODE LINK,Deque
004.Median-of-Two-Sorted-Arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays.The overall run time complexity should be O(log (m+n)). Example 1:Example 2: Constraints:",Priority_Queue
642.Design-Search-Autocomplete-System,PREMIUMLOCKED,Design
774.Minimize-Max-Distance-to-Gas-Station,PREMIUMLOCKED,Priority_Queue
871.Minimum-Number-of-Refueling-Stops,"A car travels from a starting position to a destination which is target miles east of the starting position.There are gas stations along the way. The gas stations are represented as an array stations where stations[i] = [positioni, fueli] indicates that the ith gas station is positioni miles east of the starting position and has fueli liters of gas.The car starts with an infinite tank of gas, which initially has startFuel liters of fuel in it. It uses one liter of gas per one mile that it drives. When the car reaches a gas station, it may stop and refuel, transferring all the gas from the station into the car.Return the minimum number of refueling stops the car must make in order to reach its destination. If it cannot reach the destination, return -1.Note that if the car reaches a gas station with 0 fuel left, the car can still refuel there. If the car reaches the destination with 0 fuel left, it is still considered to have arrived. Example 1:Example 2:Example 3: Constraints:",Greedy
1057.Campus-Bikes,NOLEETCODE LINK,Priority_Queue
1167.Minimum-Cost-to-Connect-Sticks,NOLEETCODE LINK,Priority_Queue
1439.Find-the-Kth-Smallest-Sum-of-a-Matrix-With-Sorted-Rows,NOLEETCODE LINK,Priority_Queue
1642.Furthest-Building-You-Can-Reach,NOLEETCODE LINK,Priority_Queue
1705.Maximum-Number-of-Eaten-Apples,NOLEETCODE LINK,Priority_Queue
1792.Maximum-Average-Pass-Ratio,NOLEETCODE LINK,Priority_Queue
1801.Number-of-Orders-in-the-Backlog,NOLEETCODE LINK,Priority_Queue
1882.Process-Tasks-Using-Servers,NOLEETCODE LINK,Priority_Queue
1942.The-Number-of-the-Smallest-Unoccupied-Chair,NOLEETCODE LINK,Priority_Queue
2102.Sequentially-Ordinal-Rank-Tracker,NOLEETCODE LINK,Heap
630.Course-Schedule-III,"There are n different online courses numbered from 1 to n. You are given an array courses where courses[i] = [durationi, lastDayi] indicate that the ith course should be taken continuously for durationi days and must be finished before or on lastDayi.You will start on the 1st day and you cannot take two or more courses simultaneously.Return the maximum number of courses that you can take. Example 1:Example 2:Example 3: Constraints:",Priority_Queue
857.Minimum-Cost-to-Hire-K-Workers,"There are n workers. You are given two integer arrays quality and wage where quality[i] is the quality of the ith worker and wage[i] is the minimum wage expectation for the ith worker.We want to hire exactly k workers to form a paid group. To hire a group of k workers, we must pay them according to the following rules:Given the integer k, return the least amount of money needed to form a paid group satisfying the above conditions. Answers within 10-5 of the actual answer will be accepted. Example 1:Example 2: Constraints:",Priority_Queue
1353.Maximum-Number-of-Events-That-Can-Be-Attended,NOLEETCODE LINK,Priority_Queue
1383.Maximum-Performance-of-a-Team,NOLEETCODE LINK,Priority_Queue
1834.Single-Threaded-CPU,NOLEETCODE LINK,Priority_Queue
1851.Minimum-Interval-to-Include-Each-Query,NOLEETCODE LINK,Priority_Queue
767.Reorganize-String,NOLEETCODE LINK,Greedy
1054.Distant-Barcodes,"In a warehouse, there is a row of barcodes, where the ith barcode is barcodes[i].Rearrange the barcodes so that no two adjacent barcodes are equal. You may return any answer, and it is guaranteed an answer exists. Example 1:Example 2: Constraints:",Greedy
358.Rearrange-String-k-Distance-Apart,PREMIUMLOCKED,Priority_Queue
621.Task-Scheduler,"Given a characters array tasks, representing the tasks a CPU needs to do, where each letter represents a different task. Tasks could be done in any order. Each task is done in one unit of time. For each unit of time, the CPU could complete either one task or just be idle.However, there is a non-negative integer n that represents the cooldown period between two same tasks (the same letter in the array), that is that there must be at least n units of time between any two same tasks.Return the least number of units of times that the CPU will take to finish all the given tasks. Example 1:Example 2:Example 3: Constraints:",Priority_Queue
984.String-Without-AAA-or-BBB,NOLEETCODE LINK,Greedy
1405.Longest-Happy-String,NOLEETCODE LINK,Greedy
1953.Maximum-Number-of-Weeks-for-Which-You-Can-Work,NOLEETCODE LINK,Priority_Queue
037.Sudoku-Solver,Write a program to solve a Sudoku puzzle by filling the empty cells.A sudoku solution must satisfy all of the following rules:The '.' character indicates empty cells. Example 1: Constraints:,DFS
040.Combination-Sum-II,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target.Each number in candidates may only be used once in the combination.Note: The solution set must not contain duplicate combinations. Example 1:Example 2: Constraints:",DFS
051.N-Queens,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other.Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order.Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively. Example 1:Example 2: Constraints:",DFS
131.Palindrome-Partitioning,NOLEETCODE LINK,Dynamic_Programming
291.Word-Pattern-II,NOLEETCODE LINK,DFS
417.Pacific-Atlantic-Water-Flow,"There is an m x n rectangular island that borders both the Pacific Ocean and Atlantic Ocean. The Pacific Ocean touches the island's left and top edges, and the Atlantic Ocean touches the island's right and bottom edges.The island is partitioned into a grid of square cells. You are given an m x n integer matrix heights where heights[r][c] represents the height above sea level of the cell at coordinate (r, c).The island receives a lot of rain, and the rain water can flow to neighboring cells directly north, south, east, and west if the neighboring cell's height is less than or equal to the current cell's height. Water can flow from any cell adjacent to an ocean into the ocean.Return a 2D list of grid coordinates result where result[i] = [ri, ci] denotes that rain water can flow from cell (ri, ci) to both the Pacific and Atlantic oceans. Example 1:Example 2: Constraints:",DFS
200.Number-of-Islands,"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands.An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water. Example 1:Example 2: Constraints:",DFS
282.Expression-Add-Operators,"Given a string num that contains only digits and an integer target, return all possibilities to insert the binary operators '+', '-', and/or '*' between the digits of num so that the resultant expression evaluates to the target value.Note that operands in the returned expressions should not contain leading zeros. Example 1:Example 2:Example 3: Constraints:",DFS
312.Burst-Balloons,"You are given n balloons, indexed from 0 to n - 1. Each balloon is painted with a number on it represented by an array nums. You are asked to burst all the balloons.If you burst the ith balloon, you will get nums[i - 1] * nums[i] * nums[i + 1] coins. If i - 1 or i + 1 goes out of bounds of the array, then treat it as if there is a balloon with a 1 painted on it.Return the maximum coins you can collect by bursting the balloons wisely. Example 1:Example 2: Constraints:",DFS
351.Android-Unlock-Patterns,NOLEETCODE LINK,DFS
399.Evaluate-Division,"You are given an array of variable pairs equations and an array of real numbers values, where equations[i] = [Ai, Bi] and values[i] represent the equation Ai / Bi = values[i]. Each Ai or Bi is a string that represents a single variable.You are also given some queries, where queries[j] = [Cj, Dj] represents the jth query where you must find the answer for Cj / Dj = ?.Return the answers to all queries. If a single answer cannot be determined, return -1.0.Note: The input is always valid. You may assume that evaluating the queries will not result in division by zero and that there is no contradiction. Example 1:Example 2:Example 3: Constraints:",DFS
488.Zuma-Game,"You are playing a variation of the game Zuma.In this variation of Zuma, there is a single row of colored balls on a board, where each ball can be colored red 'R', yellow 'Y', blue 'B', green 'G', or white 'W'. You also have several colored balls in your hand.Your goal is to clear all of the balls from the board. On each turn:Given a string board, representing the row of balls on the board, and a string hand, representing the balls in your hand, return the minimum number of balls you have to insert to clear all the balls from the board. If you cannot clear all the balls from the board using the balls in your hand, return -1. Example 1:Example 2:Example 3: Constraints:",DFS
425.Word-Squares,PREMIUMLOCKED,DFS
959.Regions-Cut-By-Slashes,"An n x n grid is composed of 1 x 1 squares where each 1 x 1 square consists of a '/', '\', or blank space ' '. These characters divide the square into contiguous regions.Given the grid grid represented as a string array, return the number of regions.Note that backslash characters are escaped, so a '\' is represented as '\\'. Example 1:Example 2:Example 3: Constraints:",DFS
1306.Jump-Game-III,NOLEETCODE LINK,DFS
1718.Construct-the-Lexicographically-Largest-Valid-Sequence,NOLEETCODE LINK,DFS
1723.Find-Minimum-Time-to-Finish-All-Jobs,NOLEETCODE LINK,Dynamic_Programming
1766.Tree-of-Coprimes,NOLEETCODE LINK,DFS
1778.Shortest-Path-in-a-Hidden-Grid,NOLEETCODE LINK,DFS
2014.Longest-Subsequence-Repeated-k-Times,NOLEETCODE LINK,DFS
2056.Number-of-Valid-Move-Combinations-On-Chessboard,NOLEETCODE LINK,DFS
2065.Maximum-Path-Quality-of-a-Graph,NOLEETCODE LINK,DFS
090.Subsets-II,NOLEETCODE LINK,DFS
301.Remove-Invalid-Parentheses,"Given a string s that contains parentheses and letters, remove the minimum number of invalid parentheses to make the input string valid.Return all the possible results. You may return the answer in any order. Example 1:Example 2:Example 3: Constraints:",DFS
473.Matchsticks-to-Square,"You are given an integer array matchsticks where matchsticks[i] is the length of the ith matchstick. You want to use all the matchsticks to make one square. You should not break any stick, but you can link them up, and each matchstick must be used exactly one time.Return true if you can make this square and false otherwise. Example 1:Example 2: Constraints:",DFS
491.Increasing-Subsequences,"Given an integer array nums, return all the different possible increasing subsequences of the given array with at least two elements. You may return the answer in any order.The given array may contain duplicates, and two equal integers should also be considered a special case of increasing sequence. Example 1:Example 2: Constraints:",DFS
698.Partition-to-K-Equal-Sum-Subsets,"Given an integer array nums and an integer k, return true if it is possible to divide this array into k non-empty subsets whose sums are all equal. Example 1:Example 2: Constraints:",DFS
996.Number-of-Squareful-Arrays,"An array is squareful if the sum of every pair of adjacent elements is a perfect square.Given an integer array nums, return the number of permutations of nums that are squareful.Two permutations perm1 and perm2 are different if there is some index i such that perm1[i] != perm2[i]. Example 1:Example 2: Constraints:",DFS
1307.Verbal-Arithmetic-Puzzle,NOLEETCODE LINK,DFS
1593.Split-a-String-Into-the-Max-Number-of-Unique-Substrings,NOLEETCODE LINK,DFS
1681.Minimum-Incompatibility,NOLEETCODE LINK,Dynamic_Programming
329.Longest-Increasing-Path-in-a-Matrix,NOLEETCODE LINK,DFS
638.Shopping-Offers,"In LeetCode Store, there are n items to sell. Each item has a price. However, there are some special offers, and a special offer consists of one or more different kinds of items with a sale price.You are given an integer array price where price[i] is the price of the ith item, and an integer array needs where needs[i] is the number of pieces of the ith item you want to buy.You are also given an array special where special[i] is of size n + 1 where special[i][j] is the number of pieces of the jth item in the ith offer and special[i][n] (i.e., the last integer in the array) is the price of the ith offer.Return the lowest price you have to pay for exactly certain items as given, where you could make optimal use of the special offers. You are not allowed to buy more items than you want, even if that would lower the overall price. You could use any of the special offers as many times as you want. Example 1:Example 2: Constraints:",DFS
403.Frog-Jump,"A frog is crossing a river. The river is divided into some number of units, and at each unit, there may or may not exist a stone. The frog can jump on a stone, but it must not jump into the water.Given a list of stones' positions (in units) in sorted ascending order, determine if the frog can cross the river by landing on the last stone. Initially, the frog is on the first stone and assumes the first jump must be 1 unit.If the frog's last jump was k units, its next jump must be either k - 1, k, or k + 1 units. The frog can only jump in the forward direction. Example 1:Example 2: Constraints:",DFS
546.Remove-Boxes,"You are given several boxes with different colors represented by different positive numbers.You may experience several rounds to remove boxes until there is no box left. Each time you can choose some continuous boxes with the same color (i.e., composed of k boxes, k >= 1), remove them and get k * k points.Return the maximum points you can get. Example 1:Example 2:Example 3: Constraints:",DFS
1340.Jump-Game-V,NOLEETCODE LINK,DFS
1815.Maximum-Number-of-Groups-Getting-Fresh-Donuts,NOLEETCODE LINK,DFS
127.Word-Ladder,NOLEETCODE LINK,BFS
126.Word-Ladder-II,"A transformation sequence from word beginWord to word endWord using a dictionary wordList is a sequence of words beginWord -> s1 -> s2 -> ... -> sk such that:Given two words, beginWord and endWord, and a dictionary wordList, return all the shortest transformation sequences from beginWord to endWord, or an empty list if no such sequence exists. Each sequence should be returned as a list of the words [beginWord, s1, s2, ..., sk]. Example 1:Example 2: Constraints:",BFS
130.Surrounded-Regions,"Given an m x n matrix board containing 'X' and 'O', capture all regions that are 4-directionally surrounded by 'X'.A region is captured by flipping all 'O's into 'X's in that surrounded region. Example 1:Example 2: Constraints:",Union_Find
200.Number-of-Islands,"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands.An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water. Example 1:Example 2: Constraints:",DFS
529.Minesweeper,"Let's play the minesweeper game (Wikipedia, online game)!You are given an m x n char matrix board representing the game board where:You are also given an integer array click where click = [clickr, clickc] represents the next click position among all the unrevealed squares ('M' or 'E').Return the board after revealing this position according to the following rules: Example 1:Example 2: Constraints:",BFS
637.Average-of-Levels-in-Binary-Tree, Example 1:Example 2: Constraints:,BFS
675.Cut-Off-Trees-for-Golf-Event,"You are asked to cut off all the trees in a forest for a golf event. The forest is represented as an m x n matrix. In this matrix:In one step, you can walk in any of the four directions: north, east, south, and west. If you are standing in a cell with a tree, you can choose whether to cut it off.You must cut off the trees in order from shortest to tallest. When you cut off a tree, the value at its cell becomes 1 (an empty cell).Starting from the point (0, 0), return the minimum steps you need to walk to cut off all the trees. If you cannot cut off all the trees, return -1.You are guaranteed that no two trees have the same height, and there is at least one tree needs to be cut off. Example 1:Example 2:Example 3: Constraints:",BFS
785.Is-Graph-Bipartite,"There is an undirected graph with n nodes, where each node is numbered between 0 and n - 1. You are given a 2D array graph, where graph[u] is an array of nodes that node u is adjacent to. More formally, for each v in graph[u], there is an undirected edge between node u and node v. The graph has the following properties:A graph is bipartite if the nodes can be partitioned into two independent sets A and B such that every edge in the graph connects a node in set A and a node in set B.Return true if and only if it is bipartite. Example 1:Example 2: Constraints:",BFS
815.Bus-Routes,"You are given an array routes representing bus routes where routes[i] is a bus route that the ith bus repeats forever.You will start at the bus stop source (You are not on any bus initially), and you want to go to the bus stop target. You can travel between bus stops by buses only.Return the least number of buses you must take to travel from source to target. Return -1 if it is not possible. Example 1:Example 2: Constraints:",BFS
838.Push-Dominoes,NOLEETCODE LINK,BFS
928.Minimize-Malware-Spread-II,"You are given a network of n nodes represented as an n x n adjacency matrix graph, where the ith node is directly connected to the jth node if graph[i][j] == 1.Some nodes initial are initially infected by malware. Whenever two nodes are directly connected, and at least one of those two nodes is infected by malware, both nodes will be infected by malware. This spread of malware will continue until no more nodes can be infected in this manner.Suppose M(initial) is the final number of nodes infected with malware in the entire network after the spread of malware stops.We will remove exactly one node from initial, completely removing it and any connections from this node to any other node.Return the node that, if removed, would minimize M(initial). If multiple nodes could be removed to minimize M(initial), return such a node with the smallest index. Example 1:Example 2:Example 3: Constraints:",BFS
1036.Escape-a-Large-Maze,"There is a 1 million by 1 million grid on an XY-plane, and the coordinates of each grid square are (x, y).We start at the source = [sx, sy] square and want to reach the target = [tx, ty] square. There is also an array of blocked squares, where each blocked[i] = [xi, yi] represents a blocked square with coordinates (xi, yi).Each move, we can walk one square north, east, south, or west if the square is not in the array of blocked squares. We are also not allowed to walk outside of the grid.Return true if and only if it is possible to reach the target square from the source square through a sequence of valid moves. Example 1:Example 2: Constraints:",BFS
1245.Tree-Diameter,NOLEETCODE LINK,BFS
1263.Minimum-Moves-to-Move-a-Box-to-Their-Target-Location,"A storekeeper is a game in which the player pushes boxes around in a warehouse trying to get them to target locations.The game is represented by an m x n grid of characters grid where each element is a wall, floor, or box.Your task is to move the box 'B' to the target position 'T' under the following rules:Return the minimum number of pushes to move the box to the target. If there is no way to reach the target, return -1. Example 1:Example 2:Example 3: Constraints:",BFS
1298.Maximum-Candies-You-Can-Get-from-Boxes,NOLEETCODE LINK,BFS
1311.Get-Watched-Videos-by-Your-Friends,NOLEETCODE LINK,BFS
1345.Jump-Game-IV,NOLEETCODE LINK,BFS
1559.Detect-Cycles-in-2D-Grid,NOLEETCODE LINK,BFS
1568.Minimum-Number-of-Days-to-Disconnect-Island,NOLEETCODE LINK,BFS
1617.Count-Subtrees-With-Max-Distance-Between-Cities,NOLEETCODE LINK,BFS
1654.Minimum-Jumps-to-Reach-Home,NOLEETCODE LINK,BFS
1905.Count-Sub-Islands,NOLEETCODE LINK,BFS
2045.Second-Minimum-Time-to-Reach-Destination,NOLEETCODE LINK,BFS
2101.Detonate-the-Maximum-Bombs,NOLEETCODE LINK,BFS
847.Shortest-Path-Visiting-All-Nodes,"You have an undirected, connected graph of n nodes labeled from 0 to n - 1. You are given an array graph where graph[i] is a list of all the nodes connected with node i by an edge.Return the length of the shortest path that visits every node. You may start and stop at any node, you may revisit nodes multiple times, and you may reuse edges. Example 1:Example 2: Constraints:",BFS
864.Shortest-Path-to-Get-All-Keys,"You are given an m x n grid grid where:You start at the starting point and one move consists of walking one space in one of the four cardinal directions. You cannot walk outside the grid, or walk into a wall.If you walk over a key, you can pick it up and you cannot walk over a lock unless you have its corresponding key.For some 1 <= k <= 6, there is exactly one lowercase and one uppercase letter of the first k letters of the English alphabet in the grid. This means that there is exactly one key for each lock, and one lock for each key; and also that the letters used to represent the keys and locks were chosen in the same order as the English alphabet.Return the lowest number of moves to acquire all keys. If it is impossible, return -1. Example 1:Example 2:Example 3: Constraints:",BFS
913.Cat-and-Mouse,"A game on an undirected graph is played by two players, Mouse and Cat, who alternate turns.The graph is given as follows: graph[a] is a list of all nodes b such that ab is an edge of the graph.The mouse starts at node 1 and goes first, the cat starts at node 2 and goes second, and there is a hole at node 0.During each player's turn, they must travel along one edge of the graph that meets where they are.  For example, if the Mouse is at node 1, it must travel to any node in graph[1].Additionally, it is not allowed for the Cat to travel to the Hole (node 0.)Then, the game can end in three ways:Given a graph, and assuming both players play optimally, return Example 1:Example 2: Constraints:",BFS
1728.Cat-and-Mouse-II,NOLEETCODE LINK,BFS
